q_id,topic,query,,
81,NUMBER OF CANDIDATES FIELDED BY PROMINENT PARTIES IN ELECTIONS,How many independant candidates contested in 2017?,SELECT COUNT(Candidate_Name) FROM Uttar_Pradesh_AE WHERE Party='IND' AND Year=2017,
82,VOTER TURNOUT - URBAN/ RURAL,What is the number of urban constituencies in Uttar Pradesh?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Constituency_Type = 'Urban',
83,VOTER TURNOUT - URBAN/ RURAL,What is the number of rural constituencies in Uttar Pradesh?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Constituency_Type = 'Rural',
84,VOTER TURNOUT - URBAN/ RURAL,What is the percentage of rural electors in the state in 2022 polls?,SELECT (SUM(Electors) / (SELECT SUM(Electors) FROM Uttar_Pradesh_AE WHERE Year = 2022 AND Sub_Region = 'Rural')) * 100 FROM Uttar_Pradesh_AE WHERE Year = 2022 AND Sub_Region = 'Rural',
85,VOTER TURNOUT - URBAN/ RURAL,What is the percentage of urban electors in the state in 2022 polls?,SELECT (SUM(Electors) / (SELECT SUM(Electors) FROM Uttar_Pradesh_AE WHERE Year = 2022)) * 100 FROM Uttar_Pradesh_AE WHERE Year = 2022 AND Sub_Region = 'Urban',
86,VOTER TURNOUT - URBAN/ RURAL,What is the percentage of rural electors in the state in 2017 polls?,SELECT (SUM(Electors) / (SELECT SUM(Electors) FROM Uttar_Pradesh_AE WHERE Year = 2017 AND Sub_Region = 'Rural')) * 100 FROM Uttar_Pradesh_AE WHERE Year = 2017 AND Sub_Region = 'Rural',
87,VOTER TURNOUT - URBAN/ RURAL,What is the percentage of urban electors in the state in 2017 polls?,SELECT (SUM(Electors) / (SELECT SUM(Electors) FROM Uttar_Pradesh_AE WHERE Year = 2017)) * 100 FROM Uttar_Pradesh_AE WHERE Year = 2017 AND Sub_Region = 'Urban',
88,VOTER TURNOUT - URBAN/ RURAL,Can you share the total voter turnout from the rural seats in 2022 polls?,SELECT SUM(Turnout_Percentage) FROM Uttar_Pradesh_AE WHERE Constituency_Type = 'Rural' AND Year = 2022,
89,VOTER TURNOUT - URBAN/ RURAL,Can you share the total voter turnout from the urban seats in 2022 polls?,SELECT SUM(Turnout_Percentage) FROM Uttar_Pradesh_AE WHERE Constituency_Type = 'Urban' AND Year = 2022,
90,VOTER TURNOUT - URBAN/ RURAL,Can you share the total voter turnout from the rural seats in 2017 polls?,SELECT SUM(Turnout_Percentage) FROM Uttar_Pradesh_AE WHERE Constituency_Type = 'Rural' AND Year = 2017,
91,VOTER TURNOUT - URBAN/ RURAL,Can you share the total voter turnout from the urban seats in 2017 polls?,SELECT SUM(Turnout_Percentage) FROM Uttar_Pradesh_AE WHERE Constituency_Type = 'Urban' AND Year = 2017,
92,VOTER TURNOUT - URBAN/ RURAL,Which urban constituency recorded the highest voter turnout in 2022 polls?,SELECT Constituency_Name FROM Uttar_Pradesh_AE WHERE Year=2022 AND Constituency_Type='Urban' ORDER BY Turnout_Percentage DESC LIMIT 1,
93,VOTER TURNOUT - URBAN/ RURAL,Which rural constituency recorded the highest voter turnout in 2022 polls?,SELECT Constituency_Name FROM Uttar_Pradesh_AE WHERE Year=2022 AND Constituency_Type='Rural' ORDER BY Turnout_Percentage DESC LIMIT 1,
94,VOTER TURNOUT - URBAN/ RURAL,Which urban constituency recorded the lowest voter turnout in 2017 polls?,SELECT Constituency_Name FROM Uttar_Pradesh_AE WHERE Year=2017 AND Constituency_Type='Urban' ORDER BY Turnout_Percentage ASC LIMIT 1;,
95,VOTER TURNOUT - URBAN/ RURAL,Which rural constituency recorded the lowest voter turnout in 2017 polls?,SELECT Constituency_Name FROM Uttar_Pradesh_AE WHERE Year=2017 AND Constituency_Type='Rural' ORDER BY Turnout_Percentage ASC LIMIT 1;,
96,WOMEN CANDIDATES PERFORMANCE,How many women candidates contested in the 2022 elections?,SELECT COUNT(Candidate_Name) FROM Uttar_Pradesh_AE WHERE Gender='F' AND Year=2022,
97,WOMEN CANDIDATES PERFORMANCE,Which party fielded the maximum number of women candidates in 2022 elections?,SELECT PartyFROM Uttar_Pradesh_AEWHERE Year = 2022 AND Gender = 'F'GROUP BY PartyHAVING COUNT(*) = (    SELECT MAX(count)    FROM (        SELECT COUNT(*) as count        FROM Uttar_Pradesh_AE        WHERE Year = 2022 AND Gender = 'F'        GROUP BY Party    ) AS counts),
98,WOMEN CANDIDATES PERFORMANCE,Women candidates from which party won in maximum numbers in 2022 polls?,SELECT Party FROM Uttar_Pradesh_AE WHERE Position=1 AND Gender='F' AND Year=2022 GROUP BY Party ORDER BY COUNT(*) DESC LIMIT 1,
99,WOMEN CANDIDATES PERFORMANCE,How many women candidates were elected in 2022 elections?,SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Gender='F' AND Year=2022 AND Position=1,
100,WOMEN CANDIDATES PERFORMANCE,What is the percentage women winner over who contested?,SELECT (COUNT(CASE WHEN Gender='F' AND Position=1 THEN 1 END) / COUNT(CASE WHEN Gender='F' THEN 1 END)) * 100 FROM Uttar_Pradesh_AE,
101,WOMEN CANDIDATES PERFORMANCE,Which constituency witnessed the highest number of women candidates contesting in 2022 elections?,SELECT Constituency_Name FROM Uttar_Pradesh_AE WHERE Year = 2022 GROUP BY Constituency_Name HAVING COUNT(CASE WHEN Gender = 'F' THEN 1 END) = (SELECT MAX(num_candidates)                                                    FROM (SELECT COUNT(Candidate_Name) as num_candidates                                                          FROM Uttar_Pradesh_AE                                                          WHERE Year = 2022                                                          GROUP BY Constituency_Name) AS temp),
102,WOMEN CANDIDATES PERFORMANCE,What is the average margin of victory for women candidates in 2022 elections?,SELECT AVG(Margin) FROM Uttar_Pradesh_AE WHERE Gender='F' AND Year=2022 AND Position=1,
103,WOMEN CANDIDATES PERFORMANCE,What is the highest margin of victory among women winners in 2022 elections?,SELECT MAX(Margin) FROM Uttar_Pradesh_AE WHERE Gender='F' AND Year=2022 AND Position=1,
104,WOMEN CANDIDATES PERFORMANCE,Who is the richest women candidates to contest the 2022 elections?,SELECT Candidate_Name FROM Uttar_Pradesh_AE WHERE Year = 2022 AND Gender = 'F' ORDER BY Valid_Votes DESC LIMIT 1,
105,WOMEN CANDIDATES PERFORMANCE,Who is the poorest women candidate to contest the 2022 elections?,SELECT Candidate_Name FROM Uttar_Pradesh_AE WHERE Year = 2022 AND Gender = 'F' ORDER BY Deposit_Lost ASC LIMIT 1,
106,WOMEN CANDIDATES PERFORMANCE,How many women candidates contested in the 2017 elections?,SELECT COUNT(Candidate_Name) FROM Uttar_Pradesh_AE WHERE Gender='F' AND Year=2017,
107,WOMEN CANDIDATES PERFORMANCE,How many women candidates were elected in 2017 elections? What is the percentage of the same?,SELECT COUNT(Candidate_Name) AS num_women_candidates FROM Uttar_Pradesh_AE WHERE Gender='F' AND Year=2017 AND Position=1;SELECT (COUNT(Candidate_Name) * 100 / (SELECT COUNT(Candidate_Name) FROM Uttar_Pradesh_AE WHERE Year=2017 AND Position=1)) AS percentage_women_candidates FROM Uttar_Pradesh_AE WHERE Gender='F' AND Year=2017 AND Position=1;,
108,WOMEN CANDIDATES PERFORMANCE,Which party fielded the maximum number of women candidates in 2017 elections?,SELECT Party FROM Uttar_Pradesh_AE WHERE Year=2017 AND Gender='F' GROUP BY Party ORDER BY COUNT(*) DESC LIMIT 1,
109,WOMEN CANDIDATES PERFORMANCE,Women candidates from which party won in maximum numbers in 2017 polls?,SELECT Party FROM Uttar_Pradesh_AE WHERE Position=1 AND Gender='F' AND Year=2017 GROUP BY Party ORDER BY COUNT(*) DESC LIMIT 1,
110,WOMEN CANDIDATES PERFORMANCE,Which constituency witnessed the highest number of women candidates contesting in 2017 elections?,SELECT Constituency_Name FROM Uttar_Pradesh_AE WHERE Year=2017 GROUP BY Constituency_Name HAVING COUNT(Gender) = (SELECT MAX(count) FROM (SELECT COUNT(Gender) as count FROM Uttar_Pradesh_AE WHERE Year=2017 AND Gender='F' GROUP BY Constituency_Name) as temp),
111,WOMEN CANDIDATES PERFORMANCE,What is the average margin of victory for women candidates in 2017 elections?,SELECT AVG(Margin) FROM Uttar_Pradesh_AE WHERE Gender='F' AND Year=2017 AND Position=1,
112,WOMEN CANDIDATES PERFORMANCE,What is the highest margin of victory among women winners in 2017 elections?,SELECT MAX(Margin) FROM Uttar_Pradesh_AE WHERE Gender='F' AND Year=2017 AND Position=1,
113,WOMEN CANDIDATES PERFORMANCE,How many men candidates were elected in 2017 elections? What is the percentage of the same?,SELECT COUNT(Candidate_Name) AS num_men_candidates         (COUNT(Candidate_Name) / (SELECT COUNT(*) FROM Uttar_Pradesh_AE WHERE Year = 2017)) * 100 AS percentage_men_candidates FROM Uttar_Pradesh_AE WHERE Year = 2017 AND Gender = 'M' AND Position = 1,
114,WOMEN CANDIDATES PERFORMANCE,Who is the richest women candidates to contest the 2017 elections?,SELECT Candidate_Name FROM Uttar_Pradesh_AE WHERE Year = 2017 AND Gender = 'F' ORDER BY Valid_Votes DESC LIMIT 1,
115,WOMEN CANDIDATES PERFORMANCE,Who is the poorest women candidate to contest the 2017 elections?,SELECT Candidate_Name FROM Uttar_Pradesh_AE WHERE Year = 2017 ORDER BY Deposit_Lost ASC LIMIT 1,
